cw,Date,INC#,Priority,DC#,Product,Duration(min),PRBNumber,Initial Causation,Final Causation,Causation Code,Sub Category,Customer Count,Comments,Repeat,Repeat INC,Related Tickets,Year,Month,Day,Quarter,Week,Weekday,Month_Name,days_since_incident,age_in_months,last_7_days,last_30_days,last_90_days,last_quarter,last_6_months,last_12_months,last_24_months,last_36_months,last_48_months,last_60_months,Date_parsed,Date_iso
5,2019-02-03,INC0461704,P1,DC08,LMS,120,PRB0002405,Delivery Management,Vendor Management,High CPU/Load,Subcategory not specified,0,No comments provided,0,No repeat INC specified,No related tickets,2019,2,3,1,5,Sunday,February,2487,81.70170827858081,0,0,0,0,0,0,0,0,0,0,2019-02-03,2019-02-03
5,2019-02-03,INC0461705,P1,DC04,BIZX,180,PRB0002406,Delivery Management,Vendor Management,High CPU/Load,Subcategory not specified,0,No comments provided,0,No repeat INC specified,No related tickets,2019,2,3,1,5,Sunday,February,2487,81.70170827858081,0,0,0,0,0,0,0,0,0,0,2019-02-03,2019-02-03
6,2019-02-04,INC0460992,P1,DC16,LMS,25,PRB0002403,Deployment,Deployment,Human Error,Subcategory not specified,0,No comments provided,0,No repeat INC specified,LRN-51938,2019,2,4,1,6,Monday,February,2486,81.6688567674113,0,0,0,0,0,0,0,0,0,0,2019-02-04,2019-02-04
6,2019-02-05,INC0461734,P2,DC12,BIZX,304,PRB0002407,Engineering,Engineering,Latency,Subcategory not specified,0,No comments provided,0,No repeat INC specified,PLT-73983 & SPC 1104489343 & SuSe #101217205021,2019,2,5,1,6,Tuesday,February,2485,81.63600525624179,0,0,0,0,0,0,0,0,0,0,2019-02-05,2019-02-05
6,2019-02-07,INC0463703,P1,DC08,LMS,12,PRB0002409,Database,Database,Database Server Node,Subcategory not specified,0,No comments provided,1,INC0457870,BCP 75848 / 2019 & LRN-51405/LRN-52051,2019,2,7,1,6,Thursday,February,2483,81.57030223390275,0,0,0,0,0,0,0,0,0,0,2019-02-07,2019-02-07
6,2019-02-07,INC0464124,P1,DC04,BIZX,150,PRB0002411,Database,Database,Database Server Node,Subcategory not specified,0,No comments provided,0,No repeat INC specified,BCP 55402 /2019 & BCP 30268 / 2019,2019,2,7,1,6,Thursday,February,2483,81.57030223390275,0,0,0,0,0,0,0,0,0,0,2019-02-07,2019-02-07
6,2019-02-07,INC0464398,P1,DC08,LMS,60,PRB0002413,Delivery Management,Cloud Operations,Configuration Issue,Subcategory not specified,0,No comments provided,0,No repeat INC specified,No related tickets,2019,2,7,1,6,Thursday,February,2483,81.57030223390275,0,0,0,0,0,0,0,0,0,0,2019-02-07,2019-02-07
6,2019-02-07,INC0464709,P1,DC04,BIZX,79,PRB0002414,Database,Database,Database Server Node,Subcategory not specified,0,No comments provided,0,No repeat INC specified,BCP 74697 / 2019,2019,2,7,1,6,Thursday,February,2483,81.57030223390275,0,0,0,0,0,0,0,0,0,0,2019-02-07,2019-02-07
6,2019-02-08,INC0465714,P1,DC12,"BizX, WFA",25,PRB0002415,Database,Database,Database Server Node,Subcategory not specified,0,No comments provided,0,No repeat INC specified,To Be Created,2019,2,8,1,6,Friday,February,2482,81.53745072273324,0,0,0,0,0,0,0,0,0,0,2019-02-08,2019-02-08
6,2019-02-08,INC0466216,P1,DC02,LMS,18,PRB0002416,Database,Database,Database Server Node,Subcategory not specified,0,No comments provided,0,No repeat INC specified,BCP 76276 / 2019,2019,2,8,1,6,Friday,February,2482,81.53745072273324,0,0,0,0,0,0,0,0,0,0,2019-02-08,2019-02-08
6,2019-02-09,INC0466363,P1,DC12,BizX,68,PRB0002417,Database,Database,Database Server Node,Subcategory not specified,0,No comments provided,0,No repeat INC specified,BCP 15338 / 2019,2019,2,9,1,6,Saturday,February,2481,81.50459921156373,0,0,0,0,0,0,0,0,0,0,2019-02-09,2019-02-09
6,2019-02-09,INC0466972,P2,DC02,LMS,180,PRB0002419,Database,Database,O2H Extension,Subcategory not specified,0,No comments provided,0,No repeat INC specified,CHG0071089,2019,2,9,1,6,Saturday,February,2481,81.50459921156373,0,0,0,0,0,0,0,0,0,0,2019-02-09,2019-02-09
6,2019-02-09,INC0474442,P1,DC04,Bizx,180,PRB0002430,Delivery Management,Vendor Management,O2H Extension,Subcategory not specified,0,No comments provided,0,No repeat INC specified,CHG0071055,2019,2,9,1,6,Saturday,February,2481,81.50459921156373,0,0,0,0,0,0,0,0,0,0,2019-02-09,2019-02-09
6,2019-02-09,INC0474443,P1,DC10,Bizx,180,PRB0002432,Delivery Management,Vendor Management,O2H Extension,Subcategory not specified,0,No comments provided,0,No repeat INC specified,CHG0071073,2019,2,9,1,6,Saturday,February,2481,81.50459921156373,0,0,0,0,0,0,0,0,0,0,2019-02-09,2019-02-09
6,2019-02-09,INC0474621,P1,DC08,Bizx,90,PRB0002431,Delivery Management,Vendor Management,O2H Extension,Subcategory not specified,0,No comments provided,0,No repeat INC specified,CHG0071057,2019,2,9,1,6,Saturday,February,2481,81.50459921156373,0,0,0,0,0,0,0,0,0,0,2019-02-09,2019-02-09
6,2019-02-10,INC0467194,P1,DC12,BizX,50,PRB0002420,Database,Database,Database Server Node,Subcategory not specified,0,No comments provided,0,No repeat INC specified,BCP 77721 / 2019,2019,2,10,1,6,Sunday,February,2480,81.47174770039422,0,0,0,0,0,0,0,0,0,0,2019-02-10,2019-02-10
6,2019-02-10,INC0467858,P2,DC04,BIZX,710,PRB0002422,Delivery Management,Cloud Operations,Database Unresponsive,Subcategory not specified,0,No comments provided,0,No repeat INC specified,Oracle SR 3-19391353671 & JET-3093,2019,2,10,1,6,Sunday,February,2480,81.47174770039422,0,0,0,0,0,0,0,0,0,0,2019-02-10,2019-02-10
7,2019-02-11,INC0467951,P1,DC12,LMS,37,PRB0002421,Delivery Management,Database,Caused By Change,Subcategory not specified,0,No comments provided,0,No repeat INC specified,CHG0072181,2019,2,11,1,7,Monday,February,2479,81.4388961892247,0,0,0,0,0,0,0,0,0,0,2019-02-11,2019-02-11
7,2019-02-11,"INC0468279,INC0455612",P2,DC12,BIZX,0,PRB0002465,GCS,Infrastructure,Latency,Subcategory not specified,0,No comments provided,0,No repeat INC specified,No related tickets,2019,2,11,1,7,Monday,February,2479,81.4388961892247,0,0,0,0,0,0,0,0,0,0,2019-02-11,2019-02-11
7,2019-02-11,INC0468282,P2,DC02,BIZX,60,PRB not provided,Database,Database,Latency,Subcategory not specified,0,No comments provided,0,No repeat INC specified,No related tickets,2019,2,11,1,7,Monday,February,2479,81.4388961892247,0,0,0,0,0,0,0,0,0,0,2019-02-11,2019-02-11
7,2019-02-11,INC0468993,P1,DC04,BIZX,14,PRB0002423,Database,Database,Expensive SQL queries,Subcategory not specified,0,No comments provided,0,No repeat INC specified,RCM-60894,2019,2,11,1,7,Monday,February,2479,81.4388961892247,0,0,0,0,0,0,0,0,0,0,2019-02-11,2019-02-11
7,2019-02-12,INC0471447,P2,DC18,BIZX,82,PRB not provided,Delivery Management,Cloud Operations,Caused By Change,Subcategory not specified,0,No comments provided,0,No repeat INC specified,No related tickets,2019,2,12,1,7,Tuesday,February,2478,81.40604467805518,0,0,0,0,0,0,0,0,0,0,2019-02-12,2019-02-12
7,2019-02-12,INC0471517,P1,DC12,BIZX,14,PRB0002424,Database,Database,Database Unresponsive,Subcategory not specified,0,No comments provided,0,No repeat INC specified,BCP 83695 / 2019,2019,2,12,1,7,Tuesday,February,2478,81.40604467805518,0,0,0,0,0,0,0,0,0,0,2019-02-12,2019-02-12
7,2019-02-13,INC0472827,P1,DC08,BIZX,422,PRB0002426,Database,Database,Database Unresponsive,Subcategory not specified,0,No comments provided,0,No repeat INC specified,BCP 84929 / 2019,2019,2,13,1,7,Wednesday,February,2477,81.37319316688567,0,0,0,0,0,0,0,0,0,0,2019-02-13,2019-02-13
7,2019-02-14,INC0473672,P1,DC08,BIZX,68,PRB0002428,Database,Database,Database Unresponsive,Subcategory not specified,0,No comments provided,0,No repeat INC specified,BCP 87014/2019,2019,2,14,1,7,Thursday,February,2476,81.34034165571616,0,0,0,0,0,0,0,0,0,0,2019-02-14,2019-02-14
7,2019-02-14,INC0474182,P1,DC04,WFA,22,PRB0002429,Database,Engineering,Database Unresponsive,Subcategory not specified,0,No comments provided,0,No repeat INC specified,WFA-19898,2019,2,14,1,7,Thursday,February,2476,81.34034165571616,0,0,0,0,0,0,0,0,0,0,2019-02-14,2019-02-14
7,2019-02-15,INC0475424,P1,DC12,Bizx,30,PRB0002433,Engineering,Engineering,Expensive SQL queries,Subcategory not specified,0,No comments provided,0,No repeat INC specified,BCP 89498 / 2019,2019,2,15,1,7,Friday,February,2475,81.30749014454665,0,0,0,0,0,0,0,0,0,0,2019-02-15,2019-02-15
7,2019-02-16,INC0477627,P1,DC04,BizX,108,PRB0002440,Delivery Management,Cloud Operations,Caused By Change,BIZX Ops,0,Change Extension,0,No repeat INC specified,CHG0071767,2019,2,16,1,7,Saturday,February,2474,81.27463863337714,0,0,0,0,0,0,0,0,0,0,2019-02-16,2019-02-16
7,2019-02-16,INC0477628,P1,DC10,Bizx,369,PRB0002439,Delivery Management,Vendor Management,O2H Extension,Subcategory not specified,0,No comments provided,0,No repeat INC specified,CHG0071647,2019,2,16,1,7,Saturday,February,2474,81.27463863337714,0,0,0,0,0,0,0,0,0,0,2019-02-16,2019-02-16
7,2019-02-17,"INC0477109,INC0477139",P2,DC10,BizX,3657,PRB0002447,Database,Database,Caused By Change,Subcategory not specified,0,HANA Bug # 212492,0,No repeat INC specified,"PLA-8274,PTCH-29430,BCP 91469 / 2019",2019,2,17,1,7,Sunday,February,2473,81.24178712220761,0,0,0,0,0,0,0,0,0,0,2019-02-17,2019-02-17
7,2019-02-17,INC0477425,P1,DC12,Bizx,20,PRB0002437,Third Party Vendor,Database,Caused By Change,Subcategory not specified,0,No comments provided,0,No repeat INC specified,BCP 91469 / 2019 PLT-74053,2019,2,17,1,7,Sunday,February,2473,81.24178712220761,0,0,0,0,0,0,0,0,0,0,2019-02-17,2019-02-17
7,2019-02-17,INC0477634,P1,DC18,Bizx,656,PRB0002438,Delivery Management,Vendor Management,O2H Extension,Subcategory not specified,0,No comments provided,0,No repeat INC specified,CHG0071600,2019,2,17,1,7,Sunday,February,2473,81.24178712220761,0,0,0,0,0,0,0,0,0,0,2019-02-17,2019-02-17
7,2019-02-17,INC0477641,P1,DC04,Bizx,420,PRB0002441,Delivery Management,Vendor Management,O2H Extension,Subcategory not specified,0,No comments provided,0,No repeat INC specified,CHG0071527,2019,2,17,1,7,Sunday,February,2473,81.24178712220761,0,0,0,0,0,0,0,0,0,0,2019-02-17,2019-02-17
7,2019-02-17,INC0477642,P1,DC08,Bizx,124,PRB0002442,Delivery Management,Vendor Management,O2H Extension,Subcategory not specified,0,No comments provided,0,No repeat INC specified,CHG0072262,2019,2,17,1,7,Sunday,February,2473,81.24178712220761,0,0,0,0,0,0,0,0,0,0,2019-02-17,2019-02-17
8,2019-02-18,INC0477773,P1,DC18,BizX,1058,PRB0002446,Database,Database,Database Issue,Subcategory not specified,0,No comments provided,0,No repeat INC specified,"BCP: 94711/2019; SPC# 1104620327; SPC# 1104622111, XAF-28893 and TLS-11461",2019,2,18,1,8,Monday,February,2472,81.2089356110381,0,0,0,0,0,0,0,0,0,0,2019-02-18,2019-02-18
8,2019-02-18,INC0479377,P1,DC12,Bizx,14,PRB0002443,Engineering,Database,Expensive SQL queries,Subcategory not specified,0,No comments provided,1,INC0477425,BCP 91469 / 2019,2019,2,18,1,8,Monday,February,2472,81.2089356110381,0,0,0,0,0,0,0,0,0,0,2019-02-18,2019-02-18
8,2019-02-18,INC0479708,P1,DC08,Bizx,143,PRB0002444,Database,Database,Expensive SQL queries,Subcategory not specified,0,No comments provided,0,No repeat INC specified,BCP 94275/2019,2019,2,18,1,8,Monday,February,2472,81.2089356110381,0,0,0,0,0,0,0,0,0,0,2019-02-18,2019-02-18
8,2019-02-19,INC0480271,P1,DC10,BIZX,808,PRB0002447,Database,Database,Expensive SQL queries,Subcategory not specified,0,No comments provided,0,No repeat INC specified,SPC # 1104628534 BCP 91469 / 2019PLT-74053,2019,2,19,1,8,Tuesday,February,2471,81.17608409986859,0,0,0,0,0,0,0,0,0,0,2019-02-19,2019-02-19
8,2019-02-19,INC0480984,P1,DC08,BIZX,108,PRB0002444,Database,Database,Expensive SQL queries,Subcategory not specified,0,No comments provided,1,INC0479377,BCP 94275/2019,2019,2,19,1,8,Tuesday,February,2471,81.17608409986859,0,0,0,0,0,0,0,0,0,0,2019-02-19,2019-02-19
8,2019-02-19,INC0481226,P1,DC02,WFA,74,PRB0002445,Database,Database,Database Unresponsive,Subcategory not specified,0,No comments provided,0,No repeat INC specified,No related tickets,2019,2,19,1,8,Tuesday,February,2471,81.17608409986859,0,0,0,0,0,0,0,0,0,0,2019-02-19,2019-02-19
8,2019-02-20,INC0481653,P2,DC02,BIZX,98,PRB not provided,GCS,Infrastructure,Network Failure,Subcategory not specified,0,No comments provided,0,No repeat INC specified,No related tickets,2019,2,20,1,8,Wednesday,February,2470,81.14323258869908,0,0,0,0,0,0,0,0,0,0,2019-02-20,2019-02-20
8,2019-02-20,INC0482017,P1,DC08,BIZX,131,PRB0002444,Third Party Vendor,Vendor Management,Caused By Change,Subcategory not specified,0,No comments provided,1,INC0479377,BCP 94275/2019,2019,2,20,1,8,Wednesday,February,2470,81.14323258869908,0,0,0,0,0,0,0,0,0,0,2019-02-20,2019-02-20
8,2019-02-21,INC0482735,P2,DC02,BizX,78,PRB0002448,GCS,Infrastructure,Network outage,Subcategory not specified,0,No comments provided,0,No repeat INC specified,SPC 1104642751Cisco Case 686207541,2019,2,21,1,8,Thursday,February,2469,81.11038107752957,0,0,0,0,0,0,0,0,0,0,2019-02-21,2019-02-21
8,2019-02-21,INC0483023,P1,DC42,BizX,256,PRB0002449,Third Party Vendor,Vendor Management,Caused By Change,Subcategory not specified,0,No comments provided,0,No repeat INC specified,SAO-4670,2019,2,21,1,8,Thursday,February,2469,81.11038107752957,0,0,0,0,0,0,0,0,0,0,2019-02-21,2019-02-21
8,2019-02-23,INC0484778,P1,DC12,LMS,34,PRB0002450,Database,Cloud Operations,Caused By Change,Subcategory not specified,0,No comments provided,0,No repeat INC specified,To Be Created,2019,2,23,1,8,Saturday,February,2467,81.04467805519053,0,0,0,0,0,0,0,0,0,0,2019-02-23,2019-02-23
8,2019-02-23,INC0485028,P1,DC08,"BizX, LMS",35,PRB0002451,GCS,Infrastructure,VM Issue,Subcategory not specified,0,No comments provided,0,No repeat INC specified,SPC 1104665010,2019,2,23,1,8,Saturday,February,2467,81.04467805519053,0,0,0,0,0,0,0,0,0,0,2019-02-23,2019-02-23
8,2019-02-24,INC0485825,P1,DC08,BIZX,360,PRB0002452,Delivery Management,Vendor Management,O2H Extension,Subcategory not specified,0,No comments provided,0,No repeat INC specified,No related tickets,2019,2,24,1,8,Sunday,February,2466,81.01182654402102,0,0,0,0,0,0,0,0,0,0,2019-02-24,2019-02-24
8,2019-02-24,INC0487221,P1,DC04,BizX,180,PRB0002453,Delivery Management,Vendor Management,O2H Extension,Subcategory not specified,0,No comments provided,0,No repeat INC specified,No related tickets,2019,2,24,1,8,Sunday,February,2466,81.01182654402102,0,0,0,0,0,0,0,0,0,0,2019-02-24,2019-02-24
9,2019-02-26,INC0488476,P1,DC12,BizX,76,PRB0002454,Delivery Management,Infrastructure,Caused By Change,Subcategory not specified,0,No comments provided,0,No repeat INC specified,No related tickets,2019,2,26,1,9,Tuesday,February,2464,80.946123521682,0,0,0,0,0,0,0,0,0,0,2019-02-26,2019-02-26
9,2019-02-26,INC0489493,P2,DC12,BizX,1386,PRB0002454,Delivery Management,Cloud Operations,IP Restoration,Subcategory not specified,0,No comments provided,0,No repeat INC specified,No related tickets,2019,2,26,1,9,Tuesday,February,2464,80.946123521682,0,0,0,0,0,0,0,0,0,0,2019-02-26,2019-02-26
9,2019-02-27,INC0490045,P1,DC12,LMS,26,PRB0002456,Delivery Management,Vendor Management,Caused By Change,Subcategory not specified,0,No comments provided,0,No repeat INC specified,No related tickets,2019,2,27,1,9,Wednesday,February,2463,80.91327201051249,0,0,0,0,0,0,0,0,0,0,2019-02-27,2019-02-27
9,2019-02-28,INC0491264,P2,DC02,BIZX,264,PRB0002470,GCS,Infrastructure,Network Failure,Subcategory not specified,0,No comments provided,0,No repeat INC specified,"SPC 1104701247 , CISCO CASE : 686253700",2019,2,28,1,9,Thursday,February,2462,80.88042049934296,0,0,0,0,0,0,0,0,0,0,2019-02-28,2019-02-28
9,2019-02-28,INC0491600,P1,DC04,BIZX,236,PRB0002459,Delivery Management,Cloud Operations,Caused By Change,Subcategory not specified,0,No comments provided,0,No repeat INC specified,No related tickets,2019,2,28,1,9,Thursday,February,2462,80.88042049934296,0,0,0,0,0,0,0,0,0,0,2019-02-28,2019-02-28
9,2019-03-01,INC0492712,P2,DC18,BizX,17,PRB0002460,Database,Database,Database Unresponsive,Subcategory not specified,0,No comments provided,0,No repeat INC specified,BCP# 101859 / 2019HANA Bug 213170,2019,3,1,1,9,Friday,March,2461,80.84756898817345,0,0,0,0,0,0,0,0,0,0,2019-03-01,2019-03-01
9,2019-03-02,INC0493170,P2,DC10,BizX,55,PRB0002461,Delivery Management,Cloud Operations,Database Unresponsive,Subcategory not specified,0,No comments provided,0,No repeat INC specified,SRSD-45404,2019,3,2,1,9,Saturday,March,2460,80.81471747700394,0,0,0,0,0,0,0,0,0,0,2019-03-02,2019-03-02
9,2019-03-02,INC0493551,P1,DC04,JAM,68,PRB0002462,Engineering,Engineering,Caused during Maintanace Window,Subcategory not specified,0,No comments provided,0,No repeat INC specified,CUB-50362,2019,3,2,1,9,Saturday,March,2460,80.81471747700394,0,0,0,0,0,0,0,0,0,0,2019-03-02,2019-03-02
9,2019-03-03,INC0493857,P1,DC15,BizX,240,PRB0002463,Database,Vendor Management,O2H Extension,Subcategory not specified,0,No comments provided,0,No repeat INC specified,No related tickets,2019,3,3,1,9,Sunday,March,2459,80.78186596583443,0,0,0,0,0,0,0,0,0,0,2019-03-03,2019-03-03
9,2019-03-03,INC0494303,P1,DC04,BizX,120,PRB0002464,Database,Vendor Management,O2H Extension,Subcategory not specified,0,No comments provided,0,No repeat INC specified,No related tickets,2019,3,3,1,9,Sunday,March,2459,80.78186596583443,0,0,0,0,0,0,0,0,0,0,2019-03-03,2019-03-03
9,2019-03-03,INC0495692,P2,DC08,BizX,180,PRB not provided,Database,Vendor Management,O2H Extension,Subcategory not specified,0,No comments provided,0,No repeat INC specified,No related tickets,2019,3,3,1,9,Sunday,March,2459,80.78186596583443,0,0,0,0,0,0,0,0,0,0,2019-03-03,2019-03-03
9,2019-03-03,INC0495693,P2,DC08,LMS,300,PRB not provided,Database,Vendor Management,O2H Extension,Subcategory not specified,0,No comments provided,0,No repeat INC specified,No related tickets,2019,3,3,1,9,Sunday,March,2459,80.78186596583443,0,0,0,0,0,0,0,0,0,0,2019-03-03,2019-03-03
10,2019-03-04,INC0494531,P2,DC10,BizX,13,PRB0002461,Delivery Management,Cloud Operations,Database Unresponsive,Subcategory not specified,0,No comments provided,1,INC0493170,SRSD-45404,2019,3,4,1,10,Monday,March,2458,80.74901445466492,0,0,0,0,0,0,0,0,0,0,2019-03-04,2019-03-04
10,2019-03-05,INC0495409,P1,DC16,WFA,42,PRB0002466,Third Party Vendor,Vendor Management,Database Unresponsive,Subcategory not specified,0,No comments provided,0,No repeat INC specified,T-Systems: IM0024740712,2019,3,5,1,10,Tuesday,March,2457,80.71616294349539,0,0,0,0,0,0,0,0,0,0,2019-03-05,2019-03-05
10,2019-03-06,INC0481474,P2,DC18,BizX,19920,PRB0002471,Engineering,Engineering,Expensive SQL queries,Subcategory not specified,0,No comments provided,1,INC0477773,PLA-8360; RCM-61487; RCM-61489; RCM-61694;  SPC-1104622111 (BMAAS engagement) ;PLA-8338; BCP 94711 / 2019 ; BCP_101859 / 2019 ; CDP-11350 ; CHG0073557 ; COSD-32814 ; JET-3146 ; PLA-8323 ; PLA-8336 ; PLT-74080 ; RCM-61380 ; RCM-61398 ; RCM-61437 ; RCM-61490,2019,3,6,1,10,Wednesday,March,2456,80.68331143232588,0,0,0,0,0,0,0,0,0,0,2019-03-06,2019-03-06
10,2019-03-08,INC0498079,P1,DC23,Multiple Modules,12,PRB0002469,GCS,Vendor Management,Network Failure,Subcategory not specified,0,No comments provided,0,No repeat INC specified,SPC #1104754056,2019,3,8,1,10,Friday,March,2454,80.61760840998686,0,0,0,0,0,0,0,0,0,0,2019-03-08,2019-03-08
10,2019-03-08,INC0499337,P1,DC19,BizX,12,PRB0002472,Database,Database,Index Server Crash,HANA Dev,1,HANA BUG#205536,0,No repeat INC specified,BCP#134855 / 2019,2019,3,8,1,10,Friday,March,2454,80.61760840998686,0,0,0,0,0,0,0,0,0,0,2019-03-08,2019-03-08
10,2019-03-08,INC0499433,P1,DC02,LMS,137,PRB0002473,Database,Database,Database Unresponsive,Subcategory not specified,0,No comments provided,0,No repeat INC specified,LE0 - BCP 134947 / 2019LB4 - BCP 4140573 / 2019 LD8 - BCP 140567 / 2019 HANA Bug - 210355SUSE #101222965661,2019,3,8,1,10,Friday,March,2454,80.61760840998686,0,0,0,0,0,0,0,0,0,0,2019-03-08,2019-03-08
10,2019-03-08,INC0499710,P1,DC19,BizX,12,PRB0002472,Database,Database,Expensive SQL queries,Subcategory not specified,0,No comments provided,1,INC0499337�,SAP note 2728466 BCP 134855 / 2019JET-3256 RCM 62621,2019,3,8,1,10,Friday,March,2454,80.61760840998686,0,0,0,0,0,0,0,0,0,0,2019-03-08,2019-03-08
10,2019-03-10,INC0501849,P2,DC08,BizX,11,PRB0002475,Delivery Management,Cloud Operations,Database Unresponsive,Subcategory not specified,0,No comments provided,0,No repeat INC specified,CHG0075156,2019,3,10,1,10,Sunday,March,2452,80.55190538764784,0,0,0,0,0,0,0,0,0,0,2019-03-10,2019-03-10
11,2019-03-11,INC0503015,P1,DC42,BizX,12,PRB0002478,Delivery Management,Vendor Management,Database Unresponsive,Subcategory not specified,0,No comments provided,0,No repeat INC specified,SuSe #101223488231,2019,3,11,1,11,Monday,March,2451,80.51905387647831,0,0,0,0,0,0,0,0,0,0,2019-03-11,2019-03-11
11,2019-03-11,INC0503043,P1,DC08,LMS,14,PRB0002479,Engineering,Engineering,Expensive SQL queries,Subcategory not specified,0,No comments provided,0,No repeat INC specified,LRN-53873,2019,3,11,1,11,Monday,March,2451,80.51905387647831,0,0,0,0,0,0,0,0,0,0,2019-03-11,2019-03-11
11,2019-03-12,INC0503199,P1,DC08,LMS,18,PRB0002480,Engineering,Database,Expensive SQL queries,Subcategory not specified,0,No comments provided,0,No repeat INC specified,BCP - 507440�/ 2019,2019,3,12,1,11,Tuesday,March,2450,80.4862023653088,0,0,0,0,0,0,0,0,0,0,2019-03-12,2019-03-12
11,2019-03-12,INC0503432,P1,DC02,LMS,13,PRB0002481,Database,Database,Database Unresponsive,Subcategory not specified,0,No comments provided,1,INC0499433,HANA Bug #210335,2019,3,12,1,11,Tuesday,March,2450,80.4862023653088,0,0,0,0,0,0,0,0,0,0,2019-03-12,2019-03-12
